NGC140,00 31 20.3,+30 47 32,1.5,1.3
NGC141,00 31 17.5,+05 10 47,0.9,0.6
NGC142,00 31 09.1,-22 37 08,1.1,0.6
NGC143,00 31 16.1,-22 33 38,1,0.2
NGC144,00 31 21.1,-22 38 44,0.8,0.8
NGC145,00 31 45.6,-05 09 09,1.8,1.3
NGC146,00 33 03.9,+63 18 33,None,None
NGC147,00 33 12.0,+48 30 31,13.2,7
NGC148,00 34 15.3,-31 47 08,2,0.8
NGC149,00 33 50.3,+30 43 25,1.3,0.8
NGC150,00 34 16.1,-27 48 16,3.9,1.9
NGC151,00 34 02.7,-09 42 18,3.7,1.7
NGC152,00 32 55.5,-73 06 59,None,None
NGC153,00 34 02.7,-09 42 18,3.7,1.9
NGC154,00 34 19.3,-12 39 20,1.1,0.9
NGC155,00 34 40.1,-10 45 59,1.7,1.3
NGC156,00 34 35.7,-08 20 24,None,None
NGC157,00 34 46.7,-08 23 48,4.2,2.7
NGC158,00 35 05.5,-08 20 45,None,None
NGC159,00 34 36.3,-55 47 22,1.4,0.4
NGC160,00 36 04.1,+23 57 29,3,1.7
NGC161,00 35 33.8,-02 50 55,1.3,0.8
NGC162,00 36 09.2,+23 57 45,None,None
NGC163,00 35 59.7,-10 07 19,1.5,1.2
NGC164,00 36 33.0,+02 45 03,0.4,0.4
NGC165,00 36 28.9,-10 06 24,1.5,1.3
NGC166,00 35 48.5,-13 36 36,0.9,0.3
NGC167,00 35 23.4,-23 22 35,1,0.7
NGC168,00 36 39.4,-22 35 36,1.2,0.2
NGC169,00 36 51.9,+23 59 23,2.6,0.7
NGC170,00 36 45.7,+01 53 11,0.4,0.3
NGC171,00 37 21.6,-19 56 05,2.6,2.4
NGC172,00 37 14.3,-22 35 06,2,0.3
NGC173,00 37 12.5,+01 56 32,3.2,2.6
NGC174,00 36 58.8,-29 28 42,1.4,0.6
NGC175,00 37 21.6,-19 56 05,2.1,1.9
NGC176,00 35 58.6,-73 09 57,None,None
NGC177,00 37 35.3,-22 32 54,2.2,0.5
NGC178,00 39 08.4,-14 10 21,2,1
NGC179,00 37 46.4,-17 50 57,0.9,0.8
NGC180,00 37 57.6,+08 38 05,2.4,1.9
NGC181,00 38 23.6,+29 28 15,0.5,0.2
NGC182,00 38 12.4,+02 43 42,2,1.7
NGC183,00 38 29.7,+29 30 35,2.1,1.6
NGC184,00 38 36.2,+29 26 47,0.7,0.2
NGC185,00 38 58.1,+48 20 27,11.7,10
NGC186,00 38 25.3,+03 09 59,1.4,0.8
NGC187,00 39 30.3,-14 39 23,1.3,0.5
NGC188,00 47 29.7,+85 14 29,None,None
NGC189,00 39 35.7,+61 05 40,None,None
NGC190,00 38 54.7,+07 03 45,1.1,0.9
NGC191,00 38 59.3,-09 00 10,1.5,1.2
NGC192,00 39 13.6,+00 51 50,1.9,0.9
NGC193,00 39 18.5,+03 19 52,1.4,1.2
NGC194,00 39 18.3,+03 02 14,1.5,1.4
NGC195,00 39 35.8,-09 11 42,1.1,0.8
NGC196,00 39 17.9,+00 54 45,1.3,0.8
NGC197,00 39 18.9,+00 53 29,1.2,0.8
NGC198,00 39 23.0,+02 47 52,1.2,1.2
NGC199,00 39 33.1,+03 08 19,1.2,0.7
NGC200,00 39 34.9,+02 53 17,1.9,1
NGC201,00 39 35.1,+00 51 34,1.8,1.4
NGC202,00 39 39.7,+03 32 08,0.9,0.3
NGC203,00 39 39.5,+03 26 34,0.9,0.3
NGC204,00 39 44.1,+03 17 58,1.2,1.1
NGC205,00 40 21.9,+41 41 26,21.9,11
NGC206,00 40 31.3,+40 44 22,None,None
NGC207,00 39 40.7,-14 14 16,0.9,0.4
NGC208,00 40 17.5,+02 45 23,0.7,0.7
NGC209,00 39 03.6,-18 36 28,1.4,1.1
NGC210,00 40 34.8,-13 52 21,5,3.3
NGC211,00 39 39.5,+03 26 34,0.8,0.3
NGC212,00 40 12.7,-56 09 08,1.3,1
NGC213,00 40 10.1,+16 28 08,1.8,1.7
NGC214,00 41 28.2,+25 30 00,1.9,1.4
NGC215,00 40 48.5,-56 12 51,1.1,0.9
NGC216,00 41 26.8,-21 02 43,2,0.7
NGC217,00 41 33.8,-10 01 20,2.6,0.6
NGC218,00 41 44.9,+36 21 26,1.1,1.1
NGC219,00 42 11.3,+00 54 14,0.5,0.5
NGC220,00 40 30.6,-73 24 11,None,None
NGC221,00 42 41.8,+40 51 52,8.7,6.5
NGC222,00 40 44.5,-73 23 03,None,None
NGC223,00 42 15.8,+00 50 44,1.3,0.9
NGC224,00 42 44.3,+41 16 06,190.5,6
NGC225,00 43 32.3,+61 47 25,None,None
NGC226,00 42 54.1,+32 34 51,0.9,0.9
NGC227,00 42 36.6,-01 31 43,1.6,1.3
NGC228,00 42 54.5,+23 30 10,1.2,1.1
NGC229,00 43 04.7,+23 30 32,0.9,0.2
NGC230,00 42 27.5,-23 37 46,1.1,0.2
NGC231,00 41 06.4,-73 21 08,None,None
NGC232,00 42 45.5,-23 33 40,1,0.8
NGC233,00 43 36.5,+30 35 15,1.7,1.5
NGC234,00 43 32.4,+14 20 35,1.6,1.6
NGC235,00 42 52.4,-23 32 28,1.3,0.7
NGC236,00 43 27.5,+02 57 31,1.1,1
NGC237,00 43 27.7,-00 07 32,1.6,0.9
NGC238,00 43 25.9,-50 11 05,1.9,1.6
NGC239,00 44 37.5,-03 45 35,1,0.5
NGC240,00 45 01.9,+06 06 47,1.6,1.6
NGC241,00 43 33.8,-73 26 47,None,None
NGC242,00 43 33.8,-73 26 47,None,None
NGC243,00 46 01.3,+29 57 31,0.7,0.3
NGC244,00 45 46.2,-15 35 50,1.2,1
NGC245,00 46 05.4,-01 43 28,1.4,1.2
NGC246,00 47 03.2,-11 52 20,4.6,4.1
NGC247,00 47 08.4,-20 45 36,21.4,6
NGC248,00 45 24.2,-73 22 49,None,None
NGC249,00 45 32.9,-73 04 39,None,None
NGC250,00 47 16.1,+07 54 36,1.4,0.8
NGC251,00 47 53.9,+19 35 48,2.4,1.9
NGC252,00 48 01.5,+27 37 26,1.5,1.1
NGC253,00 47 33.1,-25 17 17,27.5,6
NGC254,00 47 27.7,-31 25 16,2.5,1.5
NGC255,00 47 47.3,-11 28 07,3,2.5
NGC256,00 45 53.4,-73 30 28,None,None
NGC257,00 48 01.5,+08 17 48,1.9,1.3
NGC258,00 48 12.8,+27 39 24,0.5,0.4
NGC259,00 48 03.3,-02 46 35,2.8,0.6
NGC260,00 48 34.7,+27 41 33,0.9,0.9
NGC261,00 46 27.9,-73 06 13,None,None
NGC262,00 48 47.2,+31 57 26,1.1,1.1
NGC263,00 48 48.3,-13 06 28,0.6,0.3
NGC264,00 48 20.9,-38 14 03,1,0.3
NGC265,00 47 11.3,-73 28 43,None,None
NGC266,00 49 48.1,+32 16 43,3,2.9
NGC267,00 48 00.0,-73 17 00,None,None
NGC268,00 50 09.4, -5 11 38,1.6,1.1
NGC269,00 48 21.1,-73 31 54,None,None
NGC270,00 50 32.4, -8 39 08,1.7,1.5
NGC271,00 50 41.8,-01 54 39,2.1,1.7
NGC272,00 51 25.1,+35 49 18,None,None
NGC273,00 50 48.5,-06 53 10,2.2,0.7
NGC274,00 51 01.8,-07 03 26,1.5,1.5
NGC275,00 51 04.3,-07 03 56,1.5,1.1
NGC276,00 52 06.5,-22 40 48,1,0.4
NGC277,00 51 17.1,-08 35 49,1.4,1.2
NGC278,00 52 04.5,+47 33 02,2.1,2
NGC279,00 52 08.9,-02 13 06,1.6,1.2
NGC280,00 52 29.9,+24 21 01,1.7,1.1
NGC281,00 52 59.3,+56 37 19,25,30
NGC282,00 52 42.2,+30 38 21,1,0.9
NGC283,00 53 13.2,-13 09 52,1.6,1
NGC284,00 53 24.2,-13 09 33,0.7,0.6
NGC285,00 53 29.9,-13 09 42,0.7,0.4
NGC286,00 53 30.4,-13 06 46,1.3,0.9
NGC287,00 53 28.3,+32 28 56,0.8,0.4
NGC288,00 52 47.4,-26 35 24,None,None
NGC289,00 52 41.7,-31 12 28,5.1,3.6
NGC290,00 51 14.8,-73 09 45,None,None
NGC291,00 53 29.7,-08 46 09,1.1,0.5
NGC292,00 52 38.0,-72 48 01,316,186
NGC293,00 54 15.9,-07 14 08,1.1,0.9
NGC294,00 53 05.8,-73 22 52,None,None
NGC295,00 55 07.8,+31 32 30,2.2,1
NGC296,00 55 07.6,+31 32 32,1.2,0.3
NGC297,00 54 58.9,-07 20 59,0.3,0.2
NGC298,00 55 02.3,-07 20 00,1.7,0.4
NGC299,00 53 24.8,-72 11 47,None,None
NGC300,00 54 53.4,-37 41 00,21.9,15
NGC301,00 56 18.4,-10 40 27,0.7,0.5
NGC302,00 56 25.2,-10 39 46,None,None
NGC303,00 54 54.5,-16 39 08,1.7,1.4
NGC304,00 56 06.5,+24 07 30,1.1,0.7
NGC305,00 56 20.9,+12 03 54,None,None
NGC306,00 54 14.8,-72 14 28,None,None
NGC307,00 56 32.6,-01 46 19,1.6,0.7
